code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
22021,BRUSVILY,22100,BRUSVILY,,48.3939754306,-2.11740584106,21,,Brusvily,Brusvily,22,Côtes-d'Armor,53,Bretagne
22023,BULAT PESTIVIEN,22160,BULAT PESTIVIEN,,48.4345552125,-3.33259319991,23,,Bulat-Pestivien,Bulat-Pestivien,22,Côtes-d'Armor,53,Bretagne
22024,CALANHEL,22160,CALANHEL,,48.4405735546,-3.47617281469,24,,Calanhel,Calanhel,22,Côtes-d'Armor,53,Bretagne
22025,CALLAC,22160,CALLAC DE BRETAGNE,,48.4223048141,-3.41625904984,25,,Callac,Callac,22,Côtes-d'Armor,53,Bretagne
22026,CALORGUEN,22100,CALORGUEN,,48.4051166885,-2.02621322021,26,,Calorguen,Calorguen,22,Côtes-d'Armor,53,Bretagne
22027,LE CAMBOUT,22210,LE CAMBOUT,,48.0588495692,-2.62105802782,27,Le,Cambout,Le Cambout,22,Côtes-d'Armor,53,Bretagne
22028,CAMLEZ,22450,CAMLEZ,,48.7831858864,-3.31551057887,28,,Camlez,Camlez,22,Côtes-d'Armor,53,Bretagne
22029,CANIHUEL,22480,CANIHUEL,,48.3372803987,-3.09549135055,29,,Canihuel,Canihuel,22,Côtes-d'Armor,53,Bretagne
22030,CAOUENNEC LANVEZEAC,22300,CAOUENNEC LANVEZEAC,,48.7062365317,-3.36791409215,30,,Caouënnec-Lanvézéac,Caouënnec-Lanvézéac,22,Côtes-d'Armor,53,Bretagne
22030,CAOUENNEC LANVEZEAC,22300,CAOUENNEC LANVEZEAC,LANVEZEAC,48.7062365317,-3.36791409215,30,,Caouënnec-Lanvézéac,Caouënnec-Lanvézéac,22,Côtes-d'Armor,53,Bretagne
22031,CARNOET,22160,CARNOET,,48.3597303691,-3.53248136925,31,,Carnoët,Carnoët,22,Côtes-d'Armor,53,Bretagne
22032,CAULNES,22350,CAULNES,,48.302140665,-2.16070598296,32,,Caulnes,Caulnes,22,Côtes-d'Armor,53,Bretagne
22033,CAUREL,22530,CAUREL,,48.2174929186,-3.03912120085,33,,Caurel,Caurel,22,Côtes-d'Armor,53,Bretagne
22034,CAVAN,22140,CAVAN,,48.6827644007,-3.35255264768,34,,Cavan,Cavan,22,Côtes-d'Armor,53,Bretagne
22035,LES CHAMPS GERAUX,22630,LES CHAMPS GERAUX,,48.4255779287,-1.97788304243,35,Les,Champs-Géraux,Les Champs-Géraux,22,Côtes-d'Armor,53,Bretagne
22036,LA CHAPELLE BLANCHE,22350,LA CHAPELLE BLANCHE,,48.2679026363,-2.12896816388,36,La,Chapelle-Blanche,La Chapelle-Blanche,22,Côtes-d'Armor,53,Bretagne
22037,LA CHAPELLE NEUVE,22160,LA CHAPELLE NEUVE,,48.4656069567,-3.4406776147,37,La,Chapelle-Neuve,La Chapelle-Neuve,22,Côtes-d'Armor,53,Bretagne
22038,CHATELAUDREN,22170,CHATELAUDREN,,48.5398477577,-2.97194076452,38,,Châtelaudren,Châtelaudren,22,Côtes-d'Armor,53,Bretagne
22039,LA CHEZE,22210,LA CHEZE,,48.1346308811,-2.66260913976,39,La,Chèze,La Chèze,22,Côtes-d'Armor,53,Bretagne
22040,COADOUT,22970,COADOUT,,48.5151774425,-3.17890331471,40,,Coadout,Coadout,22,Côtes-d'Armor,53,Bretagne
22041,COATASCORN,22140,COATASCORN,,48.6698011801,-3.25550198639,41,,Coatascorn,Coatascorn,22,Côtes-d'Armor,53,Bretagne
22042,COATREVEN,22450,COATREVEN,,48.7630037964,-3.32610620924,42,,Coatréven,Coatréven,22,Côtes-d'Armor,53,Bretagne
22043,COETLOGON,22210,COETLOGON,,48.1328534354,-2.54349043634,43,,Coëtlogon,Coëtlogon,22,Côtes-d'Armor,53,Bretagne
22044,COETMIEUX,22400,COETMIEUX,,48.4866224829,-2.59223420538,44,,Coëtmieux,Coëtmieux,22,Côtes-d'Armor,53,Bretagne
22045,COHINIAC,22800,COHINIAC,,48.4521950063,-2.94662716848,45,,Cohiniac,Cohiniac,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,COLLINEE,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,LANGOURLA,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,LE GOURAY,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,PLESSALA,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,ST GILLES DU MENE,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,ST GOUENO,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22046,LE MENE,22330,LE MENE,ST JACUT DU MENE,48.2937312654,-2.52246803693,46,Le,Mené,Le Mené,22,Côtes-d'Armor,53,Bretagne
22047,CORLAY,22320,CORLAY,,48.3097462956,-3.0377460051,47,,Corlay,Corlay,22,Côtes-d'Armor,53,Bretagne
22048,CORSEUL,22130,CORSEUL,,48.4828884637,-2.16620752689,48,,Corseul,Corseul,22,Côtes-d'Armor,53,Bretagne
22049,CREHEN,22130,CREHEN,,48.5403697104,-2.19064428046,49,,Créhen,Créhen,22,Côtes-d'Armor,53,Bretagne
22050,DINAN,22100,DINAN,,48.4557709953,-2.04816149693,50,,Dinan,Dinan,22,Côtes-d'Armor,53,Bretagne
22052,DUAULT,22160,DUAULT,,48.3648237544,-3.43619932088,52,,Duault,Duault,22,Côtes-d'Armor,53,Bretagne
22053,EREAC,22250,EREAC,,48.2743206835,-2.34355511126,53,,Éréac,Éréac,22,Côtes-d'Armor,53,Bretagne
22054,ERQUY,22430,ERQUY,,48.6194186311,-2.45858442922,54,,Erquy,Erquy,22,Côtes-d'Armor,53,Bretagne
22054,ERQUY,22430,ERQUY,CAROUAL,48.6194186311,-2.45858442922,54,,Erquy,Erquy,22,Côtes-d'Armor,53,Bretagne
22054,ERQUY,22430,ERQUY,LES HOPITAUX,48.6194186311,-2.45858442922,54,,Erquy,Erquy,22,Côtes-d'Armor,53,Bretagne
22055,BINIC ETABLES SUR MER,22520,BINIC ETABLES SUR MER,BINIC,48.6255350477,-2.8413899481,55,,Binic-Étables-sur-Mer,Binic-Étables-sur-Mer,22,Côtes-d'Armor,53,Bretagne
22055,BINIC ETABLES SUR MER,22680,BINIC ETABLES SUR MER,,48.6255350477,-2.8413899481,55,,Binic-Étables-sur-Mer,Binic-Étables-sur-Mer,22,Côtes-d'Armor,53,Bretagne
22056,EVRAN,22630,EVRAN,,48.3848559678,-1.97961537709,56,,Évran,Évran,22,Côtes-d'Armor,53,Bretagne
22057,LE FAOUET,22290,LE FAOUET,,48.6788862743,-3.07342665968,57,Le,Faouët,Le Faouët,22,Côtes-d'Armor,53,Bretagne
22059,LE FOEIL,22800,LE FOEIL,,48.4178424268,-2.91449094191,59,Le,Fœil,Le Fœil,22,Côtes-d'Armor,53,Bretagne
22060,GAUSSON,22150,GAUSSON,,48.2927028032,-2.76114606915,60,,Gausson,Gausson,22,Côtes-d'Armor,53,Bretagne
22061,GLOMEL,22110,GLOMEL,,48.2058975829,-3.38820300244,61,,Glomel,Glomel,22,Côtes-d'Armor,53,Bretagne
22062,GOMENE,22230,GOMENE,,48.1798510762,-2.49181773591,62,,Gomené,Gomené,22,Côtes-d'Armor,53,Bretagne
22063,GOMMENEC H,22290,GOMMENEC H,,48.63755375,-3.04800718456,63,,Gommenec'h,Gommenec'h,22,Côtes-d'Armor,53,Bretagne
22064,GOUAREC,22570,GOUAREC,,48.2358108068,-3.1953780576,64,,Gouarec,Gouarec,22,Côtes-d'Armor,53,Bretagne
22065,GOUDELIN,22290,GOUDELIN,,48.6033329233,-3.02259063099,65,,Goudelin,Goudelin,22,Côtes-d'Armor,53,Bretagne
22067,GRACES,22200,GRACES,,48.5450744926,-3.18200897738,67,,Grâces,Grâces,22,Côtes-d'Armor,53,Bretagne
22067,GRACES,22200,GRACES,GOURLAN GRACES,48.5450744926,-3.18200897738,67,,Grâces,Grâces,22,Côtes-d'Armor,53,Bretagne
22068,GRACE UZEL,22460,GRACE UZEL,,48.2502051876,-2.79367583323,68,,Grâce-Uzel,Grâce-Uzel,22,Côtes-d'Armor,53,Bretagne
22069,GUENROC,22350,GUENROC,,48.3136181449,-2.08136290156,69,,Guenroc,Guenroc,22,Côtes-d'Armor,53,Bretagne
22070,GUINGAMP,22200,GUINGAMP,,48.5612759498,-3.15330223539,70,,Guingamp,Guingamp,22,Côtes-d'Armor,53,Bretagne
22071,GUITTE,22350,GUITTE,,48.2908086069,-2.10295058858,71,,Guitté,Guitté,22,Côtes-d'Armor,53,Bretagne
22072,GURUNHUEL,22390,GURUNHUEL,,48.5082694097,-3.28883122732,72,,Gurunhuel,Gurunhuel,22,Côtes-d'Armor,53,Bretagne
22073,LA HARMOYE,22320,LA HARMOYE,,48.3463965,-2.96935303524,73,La,Harmoye,La Harmoye,22,Côtes-d'Armor,53,Bretagne
22074,LE HAUT CORLAY,22320,LE HAUT CORLAY,,48.3406704165,-3.03202477497,74,Le,Haut-Corlay,Le Haut-Corlay,22,Côtes-d'Armor,53,Bretagne
22075,HEMONSTOIR,22600,HEMONSTOIR,,48.1571543373,-2.84985311411,75,,Hémonstoir,Hémonstoir,22,Côtes-d'Armor,53,Bretagne
22076,HENANBIHEN,22550,HENANBIHEN,,48.557629556,-2.38155761099,76,,Hénanbihen,Hénanbihen,22,Côtes-d'Armor,53,Bretagne
22077,HENANSAL,22400,HENANSAL,,48.5382499804,-2.44821651079,77,,Hénansal,Hénansal,22,Côtes-d'Armor,53,Bretagne
22078,HENGOAT,22450,HENGOAT,,48.7483921174,-3.20205680693,78,,Hengoat,Hengoat,22,Côtes-d'Armor,53,Bretagne
22079,HENON,22150,HENON,,48.3866424703,-2.68322883028,79,,Hénon,Hénon,22,Côtes-d'Armor,53,Bretagne
22081,HILLION,22120,HILLION,,48.5029884697,-2.64614749418,81,,Hillion,Hillion,22,Côtes-d'Armor,53,Bretagne
22081,HILLION,22120,HILLION,ST RENE HILLION,48.5029884697,-2.64614749418,81,,Hillion,Hillion,22,Côtes-d'Armor,53,Bretagne
22082,LE HINGLE,22100,LE HINGLE,,48.3975920314,-2.08327333205,82,Le,Hinglé,Le Hinglé,22,Côtes-d'Armor,53,Bretagne
22083,ILLIFAUT,22230,ILLIFAUT,,48.1441743723,-2.3357832336,83,,Illifaut,Illifaut,22,Côtes-d'Armor,53,Bretagne
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,JUGON LES LACS COMMUNE NOUVELLE,,48.4166591067,-2.32522349689,84,,Jugon-les-Lacs - Commune nouvelle,Jugon-les-Lacs - Commune nouvelle,22,Côtes-d'Armor,53,Bretagne
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,JUGON LES LACS COMMUNE NOUVELLE,DOLO,48.4166591067,-2.32522349689,84,,Jugon-les-Lacs - Commune nouvelle,Jugon-les-Lacs - Commune nouvelle,22,Côtes-d'Armor,53,Bretagne
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,JUGON LES LACS COMMUNE NOUVELLE,LESCOUET JUGON,48.4166591067,-2.32522349689,84,,Jugon-les-Lacs - Commune nouvelle,Jugon-les-Lacs - Commune nouvelle,22,Côtes-d'Armor,53,Bretagne
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,JUGON LES LACS COMMUNE NOUVELLE,ST IGNEUC,48.4166591067,-2.32522349689,84,,Jugon-les-Lacs - Commune nouvelle,Jugon-les-Lacs - Commune nouvelle,22,Côtes-d'Armor,53,Bretagne
22085,KERBORS,22610,KERBORS,,48.8236353401,-3.1817520424,85,,Kerbors,Kerbors,22,Côtes-d'Armor,53,Bretagne
22086,KERFOT,22500,KERFOT,,48.7371295698,-3.03104722579,86,,Kerfot,Kerfot,22,Côtes-d'Armor,53,Bretagne
22087,KERGRIST MOELOU,22110,KERGRIST MOELOU,,48.29472326,-3.32538204171,87,,Kergrist-Moëlou,Kergrist-Moëlou,22,Côtes-d'Armor,53,Bretagne
22088,KERIEN,22480,KERIEN,,48.4091455104,-3.22991247823,88,,Kerien,Kerien,22,Côtes-d'Armor,53,Bretagne
22090,KERMARIA SULARD,22450,KERMARIA SULARD,,48.7735327314,-3.37254108422,90,,Kermaria-Sulard,Kermaria-Sulard,22,Côtes-d'Armor,53,Bretagne
22091,KERMOROC H,22140,KERMOROC H,,48.614435841,-3.20327360757,91,,Kermoroc'h,Kermoroc'h,22,Côtes-d'Armor,53,Bretagne
22092,KERPERT,22480,KERPERT,,48.3896278473,-3.13681075222,92,,Kerpert,Kerpert,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,LA POTERIE,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,MAROUE,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,MESLIN,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,ST AARON,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22093,LAMBALLE,22400,LAMBALLE,TREGOMAR,48.4684404751,-2.49534815954,93,,Lamballe,Lamballe,22,Côtes-d'Armor,53,Bretagne
22094,LANCIEUX,22770,LANCIEUX,,48.6012844665,-2.14729508559,94,,Lancieux,Lancieux,22,Côtes-d'Armor,53,Bretagne
22095,LANDEBAERON,22140,LANDEBAERON,,48.6375635962,-3.20497735412,95,,Landebaëron,Landebaëron,22,Côtes-d'Armor,53,Bretagne
22096,LANDEBIA,22130,LANDEBIA,,48.5152409812,-2.33740214876,96,,Landébia,Landébia,22,Côtes-d'Armor,53,Bretagne
22097,LA LANDEC,22980,LA LANDEC,,48.4261108974,-2.18321076589,97,La,Landec,La Landec,22,Côtes-d'Armor,53,Bretagne
22098,LANDEHEN,22400,LANDEHEN,,48.4222879155,-2.54229267406,98,,Landéhen,Landéhen,22,Côtes-d'Armor,53,Bretagne
22099,LANFAINS,22800,LANFAINS,,48.3653621373,-2.91178425275,99,,Lanfains,Lanfains,22,Côtes-d'Armor,53,Bretagne
22100,LANGAST,22150,LANGAST,,48.2837507892,-2.65609713563,100,,Langast,Langast,22,Côtes-d'Armor,53,Bretagne
22101,LANGOAT,22450,LANGOAT,,48.7347929151,-3.29767130606,101,,Langoat,Langoat,22,Côtes-d'Armor,53,Bretagne
22103,LANGROLAY SUR RANCE,22490,LANGROLAY SUR RANCE,,48.5530223296,-2.01383816063,103,,Langrolay-sur-Rance,Langrolay-sur-Rance,22,Côtes-d'Armor,53,Bretagne
22104,LANGUEDIAS,22980,LANGUEDIAS,,48.3929940858,-2.20566739672,104,,Languédias,Languédias,22,Côtes-d'Armor,53,Bretagne
22105,LANGUENAN,22130,LANGUENAN,,48.5115119338,-2.13296467458,105,,Languenan,Languenan,22,Côtes-d'Armor,53,Bretagne
22106,LANGUEUX,22360,LANGUEUX,,48.5000522834,-2.70972282168,106,,Langueux,Langueux,22,Côtes-d'Armor,53,Bretagne
22106,LANGUEUX,22360,LANGUEUX,LES GREVES LANGUEUX,48.5000522834,-2.70972282168,106,,Langueux,Langueux,22,Côtes-d'Armor,53,Bretagne
22107,LANISCAT,22570,LANISCAT,,48.2402807469,-3.13725653018,107,,Bon Repos sur Blavet,Bon Repos sur Blavet,22,Côtes-d'Armor,53,Bretagne
22108,LANLEFF,22290,LANLEFF,,48.693037024,-3.04509377932,108,,Lanleff,Lanleff,22,Côtes-d'Armor,53,Bretagne
22109,LANLOUP,22580,LANLOUP,,48.7099285646,-2.96884384171,109,,Lanloup,Lanloup,22,Côtes-d'Armor,53,Bretagne
22110,LANMERIN,22300,LANMERIN,,48.7402849617,-3.35598717898,110,,Lanmérin,Lanmérin,22,Côtes-d'Armor,53,Bretagne
22111,LANMODEZ,22610,LANMODEZ,,48.8449357716,-3.09870207936,111,,Lanmodez,Lanmodez,22,Côtes-d'Armor,53,Bretagne
22112,LANNEBERT,22290,LANNEBERT,,48.6506329837,-3.00889441473,112,,Lannebert,Lannebert,22,Côtes-d'Armor,53,Bretagne
22113,LANNION,22300,LANNION,,48.7433496707,-3.46159799691,113,,Lannion,Lannion,22,Côtes-d'Armor,53,Bretagne
22113,LANNION,22300,LANNION,BEG LEGUER SERVEL,48.7433496707,-3.46159799691,113,,Lannion,Lannion,22,Côtes-d'Armor,53,Bretagne
22114,LANRELAS,22250,LANRELAS,,48.2463148524,-2.29585343012,114,,Lanrelas,Lanrelas,22,Côtes-d'Armor,53,Bretagne
22115,LANRIVAIN,22480,LANRIVAIN,,48.3590715356,-3.21502057949,115,,Lanrivain,Lanrivain,22,Côtes-d'Armor,53,Bretagne
22116,LANRODEC,22170,LANRODEC,,48.4997744033,-3.04323930161,116,,Lanrodec,Lanrodec,22,Côtes-d'Armor,53,Bretagne
22117,LANTIC,22410,LANTIC,,48.6040161525,-2.89860242151,117,,Lantic,Lantic,22,Côtes-d'Armor,53,Bretagne
22117,LANTIC,22410,LANTIC,NOTRE DAME DE LA COUR,48.6040161525,-2.89860242151,117,,Lantic,Lantic,22,Côtes-d'Armor,53,Bretagne
22118,LANVALLAY,22100,LANVALLAY,,48.451759809,-2.01053362747,118,,Lanvallay,Lanvallay,22,Côtes-d'Armor,53,Bretagne
22118,LANVALLAY,22100,LANVALLAY,ST SOLEN,48.451759809,-2.01053362747,118,,Lanvallay,Lanvallay,22,Côtes-d'Armor,53,Bretagne
22118,LANVALLAY,22100,LANVALLAY,TRESSAINT,48.451759809,-2.01053362747,118,,Lanvallay,Lanvallay,22,Côtes-d'Armor,53,Bretagne
22119,LANVELLEC,22420,LANVELLEC,,48.6072769742,-3.52795086821,119,,Lanvellec,Lanvellec,22,Côtes-d'Armor,53,Bretagne
22121,LANVOLLON,22290,LANVOLLON,,48.6334353937,-2.98974658224,121,,Lanvollon,Lanvollon,22,Côtes-d'Armor,53,Bretagne
22122,LAURENAN,22230,LAURENAN,,48.214928975,-2.51844644739,122,,Laurenan,Laurenan,22,Côtes-d'Armor,53,Bretagne
22123,LEHON,22100,LEHON,,48.4386870664,-2.05362352252,123,,Léhon,Léhon,22,Côtes-d'Armor,53,Bretagne
22124,LESCOUET GOUAREC,22570,LESCOUET GOUAREC,,48.1688076407,-3.20708353658,124,,Lescouët-Gouarec,Lescouët-Gouarec,22,Côtes-d'Armor,53,Bretagne
22126,LE LESLAY,22800,LE LESLAY,,48.4240369028,-2.96496738118,126,Le,Leslay,Le Leslay,22,Côtes-d'Armor,53,Bretagne
22127,LEZARDRIEUX,22740,LEZARDRIEUX,,48.8036302757,-3.1089212671,127,,Lézardrieux,Lézardrieux,22,Côtes-d'Armor,53,Bretagne
22127,LEZARDRIEUX,22740,LEZARDRIEUX,KERMOUSTER,48.8036302757,-3.1089212671,127,,Lézardrieux,Lézardrieux,22,Côtes-d'Armor,53,Bretagne
22128,LOCARN,22340,LOCARN,,48.3325702433,-3.41128829706,128,,Locarn,Locarn,22,Côtes-d'Armor,53,Bretagne
22129,LOC ENVEL,22810,LOC ENVEL,,48.5098602173,-3.40963775172,129,,Loc-Envel,Loc-Envel,22,Côtes-d'Armor,53,Bretagne
22131,LOGUIVY PLOUGRAS,22780,LOGUIVY PLOUGRAS,,48.5106432062,-3.49141017809,131,,Loguivy-Plougras,Loguivy-Plougras,22,Côtes-d'Armor,53,Bretagne
22132,LOHUEC,22160,LOHUEC,,48.4622299477,-3.52706033812,132,,Lohuec,Lohuec,22,Côtes-d'Armor,53,Bretagne
22133,LOSCOUET SUR MEU,22230,LOSCOUET SUR MEU,,48.1756621507,-2.25102250347,133,,Loscouët-sur-Meu,Loscouët-sur-Meu,22,Côtes-d'Armor,53,Bretagne
22134,LOUANNEC,22700,LOUANNEC,,48.784228067,-3.41180213141,134,,Louannec,Louannec,22,Côtes-d'Armor,53,Bretagne
22135,LOUARGAT,22540,LOUARGAT,,48.5612002546,-3.34101341684,135,,Louargat,Louargat,22,Côtes-d'Armor,53,Bretagne
22135,LOUARGAT,22540,LOUARGAT,ST ELOI,48.5612002546,-3.34101341684,135,,Louargat,Louargat,22,Côtes-d'Armor,53,Bretagne
22136,LOUDEAC,22600,LOUDEAC,,48.1740293909,-2.75097544378,136,,Loudéac,Loudéac,22,Côtes-d'Armor,53,Bretagne
22137,MAEL CARHAIX,22340,MAEL CARHAIX,,48.2882583933,-3.41055453588,137,,Maël-Carhaix,Maël-Carhaix,22,Côtes-d'Armor,53,Bretagne
22138,MAEL PESTIVIEN,22160,MAEL PESTIVIEN,,48.4041439455,-3.29047753101,138,,Maël-Pestivien,Maël-Pestivien,22,Côtes-d'Armor,53,Bretagne
22139,MAGOAR,22480,MAGOAR,,48.4014791797,-3.17683150535,139,,Magoar,Magoar,22,Côtes-d'Armor,53,Bretagne
22140,LA MALHOURE,22640,LA MALHOURE,,48.3961928659,-2.49404154442,140,La,Malhoure,La Malhoure,22,Côtes-d'Armor,53,Bretagne
22141,MANTALLOT,22450,MANTALLOT,,48.7102228776,-3.29192042144,141,,Mantallot,Mantallot,22,Côtes-d'Armor,53,Bretagne
22143,MATIGNON,22550,MATIGNON,,48.6017682782,-2.29021789488,143,,Matignon,Matignon,22,Côtes-d'Armor,53,Bretagne
22144,LA MEAUGON,22440,LA MEAUGON,,48.5044768613,-2.84729418508,144,La,Méaugon,La Méaugon,22,Côtes-d'Armor,53,Bretagne
22145,MEGRIT,22270,MEGRIT,,48.38979598,-2.26731642249,145,,Mégrit,Mégrit,22,Côtes-d'Armor,53,Bretagne
22146,MELLIONNEC,22110,MELLIONNEC,,48.1687655698,-3.28980026504,146,,Mellionnec,Mellionnec,22,Côtes-d'Armor,53,Bretagne
22147,MERDRIGNAC,22230,MERDRIGNAC,,48.1936252026,-2.39598361343,147,,Merdrignac,Merdrignac,22,Côtes-d'Armor,53,Bretagne
22148,MERILLAC,22230,MERILLAC,,48.249384359,-2.39127521375,148,,Mérillac,Mérillac,22,Côtes-d'Armor,53,Bretagne
22149,MERLEAC,22460,MERLEAC,,48.2725811849,-2.91089143126,149,,Merléac,Merléac,22,Côtes-d'Armor,53,Bretagne
22150,LE MERZER,22200,LE MERZER,,48.5816215935,-3.07507907802,150,Le,Merzer,Le Merzer,22,Côtes-d'Armor,53,Bretagne
22152,MINIHY TREGUIER,22220,MINIHY TREGUIER,,48.7680136612,-3.25834095336,152,,Minihy-Tréguier,Minihy-Tréguier,22,Côtes-d'Armor,53,Bretagne
22153,MONCONTOUR,22510,MONCONTOUR DE BRETAGNE,,48.3581980369,-2.63225581837,153,,Moncontour,Moncontour,22,Côtes-d'Armor,53,Bretagne
22154,MORIEUX,22400,MORIEUX,,48.520297083,-2.60995239978,154,,Morieux,Morieux,22,Côtes-d'Armor,53,Bretagne
22155,LA MOTTE,22600,LA MOTTE,,48.2311050733,-2.70470655082,155,La,Motte,La Motte,22,Côtes-d'Armor,53,Bretagne
22156,MOUSTERU,22200,MOUSTERU,,48.5285458399,-3.23462058455,156,,Moustéru,Moustéru,22,Côtes-d'Armor,53,Bretagne
22157,LE MOUSTOIR,22340,LE MOUSTOIR,,48.2739501884,-3.49152606471,157,Le,Moustoir,Le Moustoir,22,Côtes-d'Armor,53,Bretagne
22158,MUR DE BRETAGNE,22530,MUR DE BRETAGNE,,48.1957524474,-2.9837108711,158,,Guerlédan,Guerlédan,22,Côtes-d'Armor,53,Bretagne
